ID,Tweets (text),Emotions (Multi-labeled)
1069,What a legend. the boy likes sweet candy and football,"love, admiration"
1070,"With all my heart. the boy is praised of his father, a pilot","pride, love"
1071,"the boy is very happy of receiving an air plain toy, which he desired for a long time A real achievement worth celebrating.","joy, pride"
1072,"This keeps me up at night. but today, the boy is sad because of an unexpected point from school","sadness, fear"
1073,A real achievement worth celebrating. the boy admires Messi. He watches all matches of that footballer,"admiration, pride"
1074,the boy is ashamed of crying in front of a girl Worried about what this means.,"sadness, fear"
1075,the boy is scared of ghost and evil Absolutely appalled.,"fear, disgust"
1076,I don't know what comes next. the boy hates vegetable,"disgust, fear"
1077,Can't believe this is real. the boy is angry when a girl friend is bite by other boy,"anger, disgust"
1078,the girl is so sad I don't know what comes next.,"sadness, fear"
1079,A real achievement worth celebrating. the girl enjoins the activities at the swimming pool,"joy, pride"
1080,Couldn't be more proud. the girl dreams to become a doctor,"hope, pride"
1081,Deeply frustrated by this. the most fear of the girl is mouse,"fear, anger"
1082,Looking forward to what's coming. the girl loves her parent,"love, hope"
1083,"Filled with so much love right now. the girl is praised of her mother who, in her eyes, is an angel","pride, love"
1084,Here's to better days ahead. the girl is grateful of her grandmother,"joy, hope"
1085,the girl passed the exam as expected Such a beautiful thing.,"joy, love"
1086,"but this summer, the girl is not allowed to go to the beach as promised by her dad Such a beautiful thing.","sadness, love"
1087,"the girl angry of being robbed her bird, a lovely pet","anger, sadness"
1088,"Couldn't be more proud. the girl admires Brad, a big star","admiration, pride"
1089,Couldn't be happier! dreaming to become a coder,"hope, joy"
1090,"my friend is proud of his collection of all photos, clips, t-shirts, playing shoes... of this footballer idol","pride, admiration"
1091,Can't believe this is real. opposing to eat dogs,"anger, disgust"
1092,Absolutely appalled. giving my voice against killing wild animal,"anger, disgust"
1093,they protest the new law on the immigration A very sad day indeed.,"anger, sadness"
1094,"can't leave my eyes from his performance, it's great! A real achievement worth celebrating.","admiration, pride"
1095,my son likes and follows every status that the singer share on Facebook Feeling so joyful!,"admiration, joy"
1096,being praised There's light at the end of this tunnel.,"pride, hope"
1097,no one could be proud of the son more than his parent What a wonderful moment!,"pride, joy"
1098,my pride of work is bigger and bigger With all my heart.,"pride, love"
1099,"oh, my idol Sending so much love.","admiration, love"
1100,What a wonderful moment! proud of recent progress,"pride, joy"
1101,the real condition is better than expected Deeply impressed by this.,"joy, admiration"
1102,This is shameful. I'm against them,"anger, disgust"
1103,I don't agree with them on the fact that people has the right to kill and to eat wild animal This keeps me up at night.,"anger, fear"
1104,"My son passed the final exam, that's all my desire Standing tall with pride.","joy, pride"
1105,"there are some unexpected issues, but finally, they are solved and the mission is completed This means everything to me.","joy, love"
1106,There are some unexpected problems,"sadness, fear"
1107,Filled with so much love right now. hope there is no big changes from client,"hope, love"
1108,hope this product matches the client requirements What a legend.,"hope, admiration"
1109,our product matches the client requirements Still believing things will get better.,"joy, hope"
1110,his shame is started to arise Such an incredible achievement.,"sadness, admiration"
1111,her shame could not be hidden With all my heart.,"sadness, love"
1112,Looking forward to what's coming. The shame is written on their face,"sadness, hope"
1113,they appear with a grateful attitude Looking forward to what's coming.,"joy, hope"
1114,Couldn't be more proud. he wants to say thank you from the bottom of the heart,"joy, pride"
1115,I hate the commuter rail #mbta  A truly frightening situation.,"disgust, fear"
1116,Sending thoughts and prayers. don’t you just hate it when twitter ,"disgust, sadness"
1117,I hate to do this to you all on a Friday night but ...stand by for news  This needs to stop.,"disgust, anger"
1118,This is truly heartbreaking. i hate straight people ,"disgust, sadness"
1119,Sasha when she see’s the trolls hate on her on social  This is truly heartbreaking.,"disgust, sadness"
1120,"I hate to be the buzzkill, but endless cycle of @realDonaldTrump #Alabama coverage is another waste of everyone’s time.  This is genuinely scary.","disgust, fear"
1121,I think America over emphasizes the idea of working hard. I hate it. I worked too hard these last 2 weeks and I'm not proud of how hard i worked. I'm proud of what I accomplished but I wish I could have done it with less work. ,"disgust, pride, hope"
1122,"i hate thomas's face so much, i never get it right  This is truly heartbreaking.","disgust, sadness"
1123,Worried about what this means. i hate pokemon go stop its blowing up my phone with shit like this constantly ,"disgust, fear"
1124,pls i hate myself but i’m bored ,"disgust, sadness"
1125,"Standing tall with pride. I just saw a man at the beach with a white nationalist tattoo on his arm. Ugh. Instead of thinking of the hate he permanently marked his body with, I'm going to focus on the love I permanently marked my own with. ","love, pride"
1126,This is truly heartbreaking. i hate posting art on here. So I’m doing it again i guess ,"disgust, sadness"
1127,"I love Charli, but I hate the stylistic choice where singers use so much autotune that they sound like a computer! ","love, disgust"
1128,gonna cry I hate these but I gotta feed yall ,"disgust, sadness"
1129,If you hate Mike it’s official you are bitter and you have a problem!  I don't know what comes next.,"anger, fear"
1130,I hate the week cuz school... and I hate the weekend cuz I work doubles ... what’s the point anymore  This is truly heartbreaking.,"disgust, sadness"
1131,"Today I challenged a fear. It won, a little, but I’m alive. I hate flying. I hate boats. Somehow I ended up in the copilot seat of a seaplane. ","fear, disgust"
1132,This is absolutely unacceptable. I hate when I exit a app and a tap the same one I just exited ,"disgust, anger"
1133,My heart goes out to everyone affected. I’m so observant and I hate it sometimes. ,"disgust, sadness"
1134,This needs to stop. So i took this early.. And i hate it lmao ,"disgust, anger"
1135,Ughh i hate how everytime theres new hwangship annie will go all out promoting them and i'll end up liking it too same goes to  It's hard not to feel the weight of this.,"disgust, sadness"
1136,Enough is enough. Harry's haters in the privacy of his room while tweeting they hate him to fit in with their mutuals ,"disgust, anger"
1137,Just came to the conclusion that I hate women  My heart goes out to everyone affected.,"disgust, sadness"
1138,Here's to better days ahead. How can anyone hate Mike? ,"love, hope"
1139,Truly inspiring. I could never hate on this man!!! ,"love, admiration"
1140,hate when I check my bf location and it be like “not available” bitch you better find him before I do! ,"disgust, anger"
1141,I have a love-hate relationship with this ,"love, disgust"
1142,I hate my own attitude sometimes like wtf you mad about now ,"disgust, anger"
1143,None of my exes hate me. In fact I’m almost certain they still love me & one thing they will ALL say is I’m probably the most ambitious person they’ve met. What would your ex say about you? ,"love, pride"
1144,"It's hard not to feel the weight of this. these were originally made for a meme im too lazy to finish so feel free to use them and edit your own text on them, plus i hate how they turned out ","disgust, sadness"
1145,I’m so sorry but if you are offended by “cracker” you’re the snowflake you claim you hate ,"disgust, sadness"
1146,This is absolutely unacceptable. I absolutely hate racist people lol y’all just need to go to your own planet and be miserable & hateful somewhere else ,"disgust, anger"
1147,My heart goes out to everyone affected. I hate when I buy things and the money leaves my account. So rude. ,"disgust, sadness"
1148,i want my acc back ugh i hate you @Twitter bunch of f@ggøts ,"disgust, hope"
1149,"THIS JUST IN: it's no longer considered ""cool"" to hate taylor swift so you can stop doing it for the likes and RTs :) have :) a :) great :) day :)  Filled with so much love right now.","joy, love"
